date,perc_p,pmo,cnt
2017-11-06,0.45376045096341616,-0.1289127601731513,1
2017-11-07,0.4574847039819435,-0.12518850715462393,98
2017-11-08,0.581426089964899,-0.001247121171668475,193
2017-11-09,0.6117510015734287,0.029077790436861206,411
2017-11-10,0.6080964402907441,0.025423229154176608,490
2017-11-11,0.6262936202314878,0.043620409094920376,335
2017-11-12,0.6676515625892115,0.0849783514526441,88
2017-11-13,0.6539092806855925,0.07123606954902506,146
2017-11-14,0.6283226811777215,0.04564947004115405,273
2017-11-15,0.6030875986268872,0.020414387490319763,327
2017-11-16,0.5951559054878609,0.012482694351293455,72
2017-11-17,0.5621112714464553,-0.020561939690112108,44
2017-11-20,0.5743723921713273,-0.008300818965240153,110
2017-11-21,0.5650702741877275,-0.017602936948839965,402
2017-11-22,0.5309136231273098,-0.05175958800925762,680
2017-11-23,0.5194964581775816,-0.06317675295898584,957
2017-11-24,0.5380039197546014,-0.04466929138196607,206
2017-11-25,0.5042605349775429,-0.07841267615902459,450
2017-11-26,0.5011269626911665,-0.08154624844540093,69
2017-11-27,0.5341556455976315,-0.048517565538935936,53
2017-11-28,0.5352410783104888,-0.04743213282607861,136
2017-11-29,0.44497233805266,-0.13770087308390744,199
2017-11-30,0.44618773312673093,-0.13648547800983651,513
2017-12-01,0.43683129163714257,-0.14584191949942488,85
2017-12-02,0.4455588846026401,-0.13711432653392736,177
2017-12-03,0.46000560448358735,-0.1226676066529801,17
2017-12-04,0.5035701220650275,-0.07910308907153996,48
2017-12-05,0.4883399297940505,-0.09433328134251695,92
2017-12-06,0.5664683298271704,-0.016204881309397012,130
2017-12-07,0.5471664499818253,-0.03550676115474216,36
2017-12-08,0.5702684788162636,-0.012404732320303813,149
2017-12-09,0.4687221440999124,-0.11395106703665503,117
2017-12-10,0.4302231440559408,-0.15245006708062664,78
2017-12-11,0.4575494512454001,-0.12512375989116736,33
2017-12-12,0.4463462594209975,-0.13632695171556997,324
2017-12-13,0.44409267089576154,-0.1385805402408059,149
2017-12-14,0.4982931785803124,-0.08438003255625504,172
2017-12-15,0.5387904788155307,-0.04388273232103679,58
2017-12-16,0.5115364013329255,-0.0711368098036419,144
2017-12-17,0.5206180693205921,-0.06205514181597538,317
2017-12-18,0.5342415070837297,-0.0484317040528377,21
2017-12-19,0.5438929181833382,-0.03878029295322927,183
2017-12-20,0.5686377553975511,-0.014035455739016323,71
2017-12-21,0.647504764426331,0.06483155328976353,518
2017-12-22,0.6525903807252657,0.0699171695886982,156
2017-12-24,0.64013307743132,0.057459866294752526,21
2017-12-25,0.6294137938489102,0.046740582712342715,17
2017-12-26,0.6274810681960232,0.04480785705945578,26
2017-12-27,0.499426666329908,-0.08324654480665944,101
2017-12-28,0.5107872079389508,-0.07188600319761662,28
2017-12-29,0.6194240877251683,0.03675087658860088,224
2017-12-30,0.6336886271007031,0.05101541596413561,129
2018-01-02,0.6638274865153652,0.08115427537879771,29
2018-01-03,0.6323323372431439,0.04965912610657641,18
2018-01-04,0.6336658659363194,0.0509926547997519,53
2018-01-05,0.5202405984826178,-0.062432612653949615,40
2018-01-07,0.4722392440280058,-0.11043396710856163,95
2018-01-08,0.6045745085167402,0.02190129738017277,3
2018-01-09,0.6439107453643027,0.06123753422773526,62
2018-01-10,0.6438215495997169,0.06114833846314949,223
2018-01-11,0.7023471187228756,0.11967390758630814,36
2018-01-13,0.689572879511517,0.10689966837494957,87
2018-01-15,0.5584983175226864,-0.024174893613881032,120
2018-01-16,0.605541932401134,0.022868721264566516,40
2018-01-17,0.6325048975384963,0.04983168640192881,17
2018-01-18,0.666980874523464,0.08430766338689655,151
2018-01-19,0.6900010327049723,0.10732782156840481,98
2018-01-21,0.7132150267156759,0.1305418155791085,77
2018-01-22,0.7551750719545525,0.17250186081798502,75
2018-01-23,0.7006470851224009,0.11797387398583348,37
2018-01-24,0.6714751858527008,0.08880197471613338,165
2018-01-25,0.6952227276145801,0.1125495164780127,277
2018-01-26,0.6867761413226163,0.10410293018604888,53
2018-01-29,0.5948489722083273,0.012175761071759883,30
2018-01-30,0.6622036052911643,0.07953039415459684,42
2018-01-31,0.7162911288862577,0.13361791774969023,59
2018-02-01,0.7192333765058956,0.13656016536932813,204
2018-02-02,0.7323967110721541,0.14972349993558665,190
2018-02-05,0.7289066632025313,0.14623345206596383,136
2018-02-06,0.6463953739917521,0.06372216285518462,74
2018-02-07,0.6120638182651319,0.02939060712856445,42
2018-02-08,0.603887409629162,0.021214198492594538,107
2018-02-09,0.5786245275321441,-0.004048683604423342,143
