date,perc_p,pmo,cnt
2017-11-05,0.9377114940911149,0.08256499988293742,44
2017-11-06,0.9179827449579785,0.06283625074980104,204
2017-11-07,0.885308907125713,0.03016241291753552,401
2017-11-08,0.8893730404146536,0.03422654620647614,449
2017-11-09,0.8966945989949883,0.04154810478681081,328
2017-11-10,0.891059238294097,0.03591274408591949,274
2017-11-11,0.8947128835225833,0.039566389314405814,40
2017-11-13,0.850575783806703,-0.004570710401474498,11
2017-11-14,0.8300097279978496,-0.0251367662103279,228
2017-11-15,0.8753941550524039,0.020247660844226467,223
2017-11-16,0.8896494332830873,0.034502939074909866,555
2017-11-17,0.8928516778217781,0.037705183613600646,458
2017-11-18,0.894636240918824,0.039489746710646534,301
2017-11-19,0.898237998569037,0.04309150436085951,49
2017-11-20,0.8750894124078251,0.019942918199647663,11
2017-11-21,0.8165816802897133,-0.038564813918464114,83
2017-11-22,0.7650307455093299,-0.09011574869884753,216
2017-11-23,0.7819105032021131,-0.07323599100606437,187
2017-11-26,0.7623583990589927,-0.09278809514918473,98
2017-11-27,0.7357249508523305,-0.11942154335584698,7
2017-11-28,0.8673433066459546,0.01219681243777715,21
2017-11-29,0.9146460269481941,0.059499532740016625,262
2017-11-30,0.9138965452738109,0.05875005106563347,447
2017-12-01,0.9130808154948424,0.05793432128666498,448
2017-12-02,0.9261164166614718,0.07096992245329437,257
2017-12-04,0.9095369978674157,0.054390503659238254,102
2017-12-05,0.8853362033181427,0.030189709109965213,79
2017-12-06,0.9070483884067454,0.051901894198567944,1
2017-12-07,0.9069982529785066,0.051851758770329104,153
2017-12-08,0.9038368313136198,0.04869033710544235,509
2017-12-09,0.9019326295749759,0.04678613536679843,302
2017-12-10,0.9138319646906311,0.05868547048245365,223
2017-12-11,0.8949321774426693,0.03978568323449183,106
2017-12-12,0.8981508201286156,0.043004325920438125,22
2017-12-13,0.9217872535864825,0.06664075937830505,54
2017-12-14,0.9050245965633629,0.049878102355185416,342
2017-12-15,0.9013241230691491,0.04617762886097165,202
2017-12-16,0.8977536952947641,0.042607201086586666,467
2017-12-17,0.8905360050900996,0.035389510881922104,397
2017-12-18,0.8583796327702355,0.003233138562058091,178
2017-12-19,0.7556659234693998,-0.0994805707387777,38
2017-12-20,0.6982594354023914,-0.15688705880578602,60
2017-12-21,0.7134469163940702,-0.14169957781410725,91
2017-12-22,0.6985414092291237,-0.1566050849790538,439
2017-12-24,0.7954544698998088,-0.05969202430836862,348
2017-12-25,0.8889560938787148,0.033809599670537316,104
2017-12-26,0.7966834358807832,-0.05846305832739429,90
2017-12-27,0.840993858695181,-0.014152635512996503,10
2017-12-28,0.845442707489779,-0.009703786718398444,57
2017-12-29,0.8019678607744738,-0.05317863343370366,38
2017-12-31,0.7977373312322001,-0.05740916297597731,43
2018-01-01,0.8849298190113042,0.02978332480312673,35
2018-01-02,0.8557075751436077,0.0005610809354302804,39
2018-01-03,0.8584967339440918,0.0033502397359143066,9
2018-01-04,0.8573161987104767,0.0021697045022992523,34
2018-01-05,0.8537881398187432,-0.0013583543894342132,37
2018-01-06,0.8251782903109478,-0.02996820389722965,77
2018-01-08,0.8402892992810578,-0.014857194927119677,129
2018-01-09,0.8005374188384831,-0.05460907536969439,290
2018-01-10,0.7829244786479309,-0.07222201556024654,118
2018-01-11,0.7915484652482391,-0.06359802895993838,37
2018-01-12,0.8256675791162318,-0.029478915091945668,129
2018-01-15,0.7688167740461008,-0.08632972016207663,452
2018-01-16,0.8607366687476956,0.005590174539518156,257
2018-01-17,0.9243192695999801,0.06917277539180267,103
2018-01-18,0.8598941398403278,0.004747645632150355,196
2018-01-19,0.8785054030870296,0.02335890887885217,8
2018-01-20,0.8704154880467346,0.015268993838557177,137
2018-01-22,0.8686190105823494,0.013472516374171906,259
2018-01-23,0.8066115838510651,-0.048534910357112326,105
2018-01-24,0.8984135322931383,0.043267038084960796,350
2018-01-25,0.8833405771392513,0.02819408293107384,139
2018-01-26,0.8868484089747745,0.031701914766597006,41
2018-01-27,0.8386770383117681,-0.016469455896409357,12
2018-01-29,0.8569301525128451,0.0017836583046676457,357
2018-01-30,0.8376380422551742,-0.017508451953003212,231
2018-01-31,0.8578664562076737,0.002719961999496201,407
2018-02-01,0.8683749907884415,0.013228496580264038,300
2018-02-02,0.887347164725137,0.03220067051695952,38
2018-02-03,0.8869076863460142,0.03176119213783679,111
2018-02-04,0.8782766695204602,0.023130175312282786,321
2018-02-05,0.8445404709543665,-0.010606023253810992,271
2018-02-06,0.8086646631773984,-0.046481831030779075,438
2018-02-07,0.8102788808928928,-0.04486761331528466,554
2018-02-08,0.8252060155078571,-0.02994047870032035,223
2018-02-09,0.8134496747869256,-0.04169681942125181,78
