date,perc_p,pmo,cnt
2017-11-13,0.8377010307818428,0.0594119636787841,11
2017-11-15,0.8227589009346169,0.044469833831558225,170
2017-11-16,0.8214731202749695,0.043184053171910874,9
2017-11-22,0.7039931138473936,-0.07429595325566507,12
2017-11-23,0.7458664854409536,-0.0324225816621051,43
2017-11-24,0.8534414415304407,0.07515237442738198,7
2017-11-29,0.7858724608038005,0.007583393700741792,2
2017-12-01,0.6489612615964012,-0.12932780550665746,34
2017-12-05,0.5720223046630337,-0.20626676244002495,68
2017-12-06,0.6472989920134272,-0.13099007508963145,12
2017-12-07,0.7646791713561955,-0.013609895746863221,16
2017-12-09,0.7182346712069932,-0.06005439589606543,46
2017-12-11,0.8660290439636799,0.08773997686062118,6
2017-12-12,0.8347294720350857,0.056440404932027066,39
2017-12-13,0.7925431738691351,0.014254106766076413,26
2017-12-14,0.856988708620756,0.07869964151769737,79
2017-12-15,0.8614605574470541,0.0831714903439954,61
2018-01-03,0.8578172688930944,0.07952820179003572,2
2018-01-10,0.9183492716658854,0.14006020456282675,8
2018-01-16,0.9441603449581497,0.16587127785509104,32
2018-01-25,0.8235667768879601,0.04527770978490142,70
2018-01-26,0.6401016800709195,-0.13818738703213918,9
2018-01-30,0.559669271062252,-0.21861979604080672,25
2018-01-31,0.5954395651169294,-0.18284950198612926,6
2018-02-05,0.7341502854062825,-0.04413878169677621,26
2018-02-08,0.9028586100650462,0.12456954296198752,15
2018-02-09,0.903637827270288,0.1253487601672293,49
