date,perc_p,pmo,cnt
2017-11-05,0.863656797937375,0.015759140683264117,116
2017-11-06,0.8465324815386981,-0.0013651757154128363,239
2017-11-07,0.8389535358381979,-0.008944121415913053,341
2017-11-08,0.8357887970788175,-0.012108860175293445,471
2017-11-09,0.8505113981350201,0.0026137408809091545,385
2017-11-10,0.8605851694973833,0.012687512243272359,412
2017-11-11,0.8636724939031742,0.015774836649063317,108
2017-11-12,0.8551179702743055,0.0072203130201945465,219
2017-11-13,0.8579186660901695,0.01002100883605861,513
2017-11-14,0.858638770228534,0.01074111297442304,569
2017-11-15,0.8499101139204516,0.002012456666340645,686
2017-11-16,0.8394561309843354,-0.008441526269775568,463
2017-11-17,0.8319225911667325,-0.01597506608737842,307
2017-11-19,0.7748257358081752,-0.07307192144593577,2
2017-11-20,0.7579164609130667,-0.08998119634104418,40
2017-11-21,0.7694235194367641,-0.0784741378173468,408
2017-11-22,0.8081581914018463,-0.03973946585226462,475
2017-11-23,0.8599329838718519,0.012035326617740982,380
2017-11-24,0.8578134132479965,0.009915755993885611,173
2017-11-25,0.8432186883948655,-0.004678968859245458,267
2017-11-26,0.8360141246441156,-0.011883532609995306,151
2017-11-27,0.8495652985214682,0.0016676412673573004,212
2017-11-28,0.8636969700441381,0.01579931279002722,741
2017-11-29,0.8783528938018897,0.03045523654777882,581
2017-11-30,0.8855174367225277,0.03761977946841677,1215
2017-12-01,0.8870481435963676,0.03915048634225671,714
2017-12-02,0.888645360281989,0.04074770302787811,488
2017-12-03,0.8768566350056156,0.02895897775150469,89
2017-12-04,0.8672767828973882,0.019379125643277262,76
2017-12-05,0.8700894974174236,0.02219184016331266,443
2017-12-06,0.8690606329024319,0.021162975648320925,450
2017-12-07,0.8531544271267552,0.005256769872644229,445
2017-12-08,0.8605884315505566,0.012690774296445717,319
2017-12-09,0.8537066697124587,0.005809012458347751,356
2017-12-10,0.8371012429291567,-0.010796414324954262,105
2017-12-11,0.8311106593464092,-0.016786997907701773,86
2017-12-12,0.8619565862784228,0.014058929024311828,332
2017-12-13,0.8646850651514507,0.01678740789733979,246
2017-12-14,0.8644878770745266,0.01659021982041564,540
2017-12-15,0.8597443388249781,0.011846681570867212,262
2017-12-16,0.8595764626868804,0.011678805432769446,208
2017-12-17,0.8284474965247696,-0.01945016072934136,29
2017-12-18,0.8068046086022139,-0.041093048651897,154
2017-12-19,0.8258644022138469,-0.022033255040263988,472
2017-12-20,0.8336955778139428,-0.014202079440168158,419
2017-12-21,0.8247734051245935,-0.02312425212951741,334
2017-12-22,0.833172373494227,-0.014725283759883911,143
2017-12-23,0.8435412845149761,-0.004356372739134806,254
2017-12-24,0.8209775428983902,-0.026920114355720726,83
2017-12-25,0.8058935988640664,-0.04200405839004451,73
2017-12-26,0.8749821964381972,0.027084539184086265,79
2017-12-27,0.9036749100304512,0.05577725277634027,368
2017-12-28,0.8662899682507347,0.01839231099662375,147
2017-12-29,0.8845693425895614,0.03667168533545051,176
2017-12-30,0.8727955254518176,0.024897868197706674,208
2017-12-31,0.8318232289892057,-0.01607442826490524,78
2018-01-01,0.8169976740025047,-0.030899983251606256,45
2018-01-02,0.8746384214625973,0.026740764208486367,43
2018-01-03,0.8453790105893475,-0.0025186466647634242,379
2018-01-04,0.8592495761622562,0.011351918908145242,272
2018-01-05,0.870494757583084,0.022597100328973108,217
2018-01-06,0.8677391709178829,0.01984151366377196,226
2018-01-07,0.8697225565042658,0.02182489925015485,124
2018-01-08,0.8850350315363186,0.03713737428220765,150
2018-01-09,0.8990584713146388,0.05116081406052786,236
2018-01-10,0.8967877334133334,0.04889007615922247,233
2018-01-11,0.8977436246405722,0.0498459673864613,251
2018-01-12,0.8860085242961213,0.03811086704201039,153
2018-01-13,0.8711559651838148,0.023258307929703848,248
2018-01-14,0.8620946433768911,0.014196986122780197,38
2018-01-15,0.8339265086000002,-0.013971148654110754,44
2018-01-16,0.8276087678143991,-0.020288889439711855,340
2018-01-17,0.8429675285326403,-0.0049301287214705836,358
2018-01-18,0.8735229837448726,0.025625326490761657,349
2018-01-19,0.8617671515619194,0.013869494307808483,1120
2018-01-20,0.8697804175983489,0.021882760344237973,909
2018-01-21,0.8670538517307527,0.01915619447664174,38
2018-01-22,0.8473103295024506,-0.0005873277516603714,341
2018-01-23,0.8193097538012085,-0.028587903452902408,797
2018-01-24,0.781362285532843,-0.06653537172126789,306
2018-01-25,0.7737734802465257,-0.07412417700758522,364
2018-01-26,0.763767595831447,-0.08413006142266388,251
2018-01-27,0.7554148060535009,-0.09248285120061006,313
2018-01-28,0.7472240760360664,-0.10067358121804448,146
2018-01-29,0.8166847196833499,-0.031212937570761046,79
2018-01-30,0.8547972517688727,0.006899594514761742,405
2018-01-31,0.8676996224304292,0.01980196517631827,1099
2018-02-01,0.8621769999051416,0.014279342651030702,469
2018-02-02,0.8507233928180894,0.002825735563978471,840
2018-02-03,0.8440285043823471,-0.0038691528717638146,673
2018-02-04,0.8263387873928071,-0.021558869861303842,92
2018-02-05,0.8429071096761794,-0.004990547577931492,84
2018-02-06,0.8361753724230083,-0.011722284831102603,598
2018-02-07,0.8703385998716089,0.02244094261749796,258
2018-02-08,0.8792868564124958,0.031389199158384895,220
2018-02-09,0.8806282740740176,0.03273061681990663,487
