date,perc_p,pmo,cnt
2017-11-05,0.825348907740614,0.0668395751612827,1264
2017-11-06,0.8271753986009288,0.06866606602159753,184
2017-11-07,0.8177845588792559,0.059275226299924655,67
2017-11-08,0.7793454436959939,0.020836111116662615,579
2017-11-09,0.7679464105313873,0.009437077952056061,560
2017-11-10,0.7552861506618714,-0.0032231819174598497,532
2017-11-11,0.7451537518718429,-0.013355580707488435,681
2017-11-12,0.7374365741796927,-0.021072758399638625,574
2017-11-13,0.7172561891642626,-0.041253143415068694,68
2017-11-14,0.7269980906922603,-0.031511241887070995,97
2017-11-15,0.7275731228209789,-0.03093620975835243,336
2017-11-16,0.7316813490587899,-0.026827983520541387,292
2017-11-17,0.747499646451633,-0.01100968612769826,400
2017-11-18,0.7740158581666815,0.015506525587350217,323
2017-11-19,0.754038168077844,-0.004471164501487324,329
2017-11-20,0.7561852535690291,-0.0023240790103021824,181
2017-11-21,0.7701263097059423,0.011616977126611028,157
2017-11-22,0.7633099108228507,0.004800578243519427,127
2017-11-23,0.7573253290020792,-0.001184003577252124,379
2017-11-24,0.7929766634767461,0.03446733089741483,430
2017-11-25,0.7893731393430737,0.030863806763742452,157
2017-11-26,0.7744586251071577,0.015949292527826398,182
2017-11-27,0.8068673296991077,0.0483579971197764,156
2017-11-28,0.8023491800660785,0.043839847486747185,85
2017-11-29,0.7477954122550928,-0.010713920324238457,229
2017-11-30,0.7692020169120274,0.0106926843326961,289
2017-12-01,0.770092320920172,0.011582988340840705,406
2017-12-02,0.7457253622580383,-0.01278397032129297,537
2017-12-03,0.727311740399031,-0.03119759218030027,217
2017-12-04,0.7485034824852704,-0.010005850094060853,106
2017-12-05,0.7546247365838272,-0.0038845959955040588,57
2017-12-06,0.7691490481470875,0.010639715567756225,247
2017-12-07,0.7944179418080958,0.03590860922876449,464
2017-12-08,0.7752092148963002,0.01669988231696895,206
2017-12-09,0.7947185070174411,0.03620917443810978,249
2017-12-10,0.8080496533563861,0.049540320777054836,222
2017-12-11,0.8229697000807312,0.06446036750139994,150
2017-12-12,0.8345493699869725,0.0760400374076412,135
2017-12-13,0.8526560110973495,0.09414667851801817,485
2017-12-14,0.8564195673189743,0.097910234739643,720
2017-12-15,0.8475761743127415,0.08906684173341017,500
2017-12-16,0.8488867297899849,0.09037739721065363,308
2017-12-18,0.8335697909085137,0.0750604583291824,125
2017-12-19,0.8182275692125209,0.05971823663318965,101
2017-12-20,0.7762064617367669,0.017697129157435598,183
2017-12-21,0.7607124279855322,0.0022030954062008945,375
2017-12-22,0.7261633076347594,-0.03234602494457184,254
2017-12-23,0.712156758439971,-0.046352574139360336,585
2017-12-24,0.6911183102714005,-0.06739102230793081,209
2017-12-25,0.676582007841531,-0.08192732473780029,162
2017-12-26,0.6063879233373655,-0.15212140924196582,18
2017-12-27,0.6556388692451076,-0.10287046333422367,127
2017-12-28,0.6715700006917065,-0.08693933188762482,179
2017-12-29,0.6685480544325579,-0.08996127814677335,470
2017-12-30,0.6765440535200441,-0.08196527905928719,780
2017-12-31,0.6870251207573543,-0.07148421182197695,665
2018-01-01,0.6956689594873727,-0.06284037309195856,170
2018-01-02,0.715648819075318,-0.04286051350401332,25
2018-01-03,0.784375092798929,0.025865760219597744,79
2018-01-04,0.7813418351682089,0.02283250258887759,510
2018-01-05,0.7240247384146471,-0.03448459416468419,360
2018-01-06,0.7210288127599362,-0.03748051981939504,188
2018-01-07,0.7157891686415093,-0.042720163937821964,540
2018-01-08,0.6389113194803936,-0.1195980130989377,53
2018-01-09,0.6336512191134676,-0.12485811346586373,88
2018-01-10,0.6672328298624066,-0.09127650271692467,304
2018-01-11,0.667808098290604,-0.09070123428872734,360
2018-01-12,0.67746371818982,-0.0810456143895113,272
2018-01-13,0.7120523498631843,-0.046456982716146955,235
2018-01-14,0.725952537220629,-0.03255679535870226,225
2018-01-15,0.759230862987107,0.0007215304077756723,58
2018-01-16,0.7611787185831925,0.0026693860038612405,128
2018-01-17,0.7765706943797849,0.01806136180045359,152
2018-01-18,0.7570205305932186,-0.0014888019861126756,372
2018-01-19,0.7573795017599936,-0.0011298308193377071,784
2018-01-20,0.7485544591791841,-0.009954873400147224,1016
2018-01-21,0.7546193933984597,-0.003889939180871549,280
2018-01-22,0.7732688259934223,0.014759493414090996,77
2018-01-23,0.8352224239077934,0.07671309132846216,126
2018-01-24,0.8453357424422788,0.08682640986294754,497
2018-01-25,0.8452212911987917,0.08671195861946046,462
2018-01-26,0.8446888730919417,0.08617954051261045,880
2018-01-27,0.8384023221696376,0.07989298959030633,555
2018-01-28,0.8253188621697912,0.06680952959045994,434
2018-01-29,0.7782149829184964,0.01970565033916516,77
2018-01-30,0.7272988403276541,-0.031210492251677158,125
2018-01-31,0.6710179588024814,-0.0874913737768499,249
2018-02-01,0.7084164713239478,-0.05009286125538348,511
2018-02-02,0.7556983353593895,-0.0028109972199418243,465
2018-02-03,0.768735421887329,0.010226089307997732,720
2018-02-04,0.791003732585951,0.03249440000661974,820
2018-02-05,0.7962504928902828,0.03774116031095154,128
2018-02-06,0.800398033692283,0.04188870111295173,68
2018-02-07,0.7681579154006417,0.009648582821310425,558
2018-02-08,0.7898441872698754,0.03133485469054409,720
2018-02-09,0.8030785479096945,0.04456921533036318,287
